product_id,name,description,price,image_filename,product_page
HEA-0001,Jimmy Stewart Signed 8x10 Photo,A signed 8x10 B&W photo of Jimmy Stewart,29.99,hea-0001.jpg,products/hea-0001.html
HEA-0002,Bob Dylan Signed Card,A Bob Dylan signed crd mounted with color photo,79.99,hea-0002.jpg,products/hea-0002.html
